ダウンロードした時刻：2019/01/25 17:08:20

,,,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）,南大東（南大東島）
年,月,日,天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,,,品質情報,均質番号,,品質情報,均質番号
2005,9,23,晴,8,1,晴,8,1
2005,9,24,晴,8,1,晴時々薄曇,8,1
2005,9,25,晴一時薄曇,8,1,薄曇時々晴,8,1
2005,9,26,晴,8,1,晴,8,1
2005,9,27,晴後時々曇,8,1,晴,8,1
2005,9,28,晴,8,1,曇時々晴一時雨,8,1
2005,9,29,曇時々雨,8,1,晴時々曇一時雨,8,1
2005,9,30,晴時々曇,8,1,曇時々晴,8,1
2005,10,1,晴一時曇,8,1,晴一時曇,8,1
2005,10,2,晴,8,1,晴,8,1
2005,10,3,晴,8,1,晴,8,1
2005,10,4,晴時々曇,8,1,晴一時雨,8,1
2005,10,5,晴,8,1,晴時々曇,8,1
2005,10,6,晴一時曇,8,1,曇時々晴,8,1
2005,10,7,晴,8,1,晴,8,1
2005,10,8,晴,8,1,晴,8,1
2005,10,9,晴,8,1,晴,8,1
2005,10,10,晴時々曇一時雨,8,1,晴,8,1
2005,10,11,晴,8,1,晴時々曇一時雨,8,1
2005,10,12,曇時々晴,8,1,晴一時曇,8,1
2005,10,13,晴時々曇,8,1,晴時々曇,8,1
2005,10,14,曇一時雨,8,1,曇,8,1
2005,10,15,曇時々雨,8,1,曇,8,1
2005,10,16,曇時々雨,8,1,曇時々雨,8,1
2005,10,17,曇一時晴,8,1,曇時々雨,8,1
2005,10,18,晴,8,1,晴,8,1
2005,10,19,晴一時曇,8,1,晴,8,1
2005,10,20,曇後晴,8,1,晴一時曇,8,1
2005,10,21,晴,8,1,晴,8,1
2005,10,22,晴一時曇,8,1,曇時々晴一時雨,8,1
2005,10,23,晴,8,1,晴,8,1
2005,10,24,晴,8,1,晴,8,1
2005,10,25,晴,8,1,晴,8,1
2005,10,26,曇時々晴,8,1,晴,8,1
2005,10,27,晴,8,1,曇時々晴一時雨,8,1
2005,10,28,晴,8,1,晴,8,1
2005,10,29,晴,8,1,晴,8,1
2005,10,30,雨時々曇,8,1,曇時々晴一時雨,8,1
2005,10,31,晴時々曇,8,1,曇時々雨,8,1
2005,11,1,晴,8,1,晴,8,1
2005,11,2,晴一時曇,8,1,晴,8,1
2005,11,3,晴,8,1,晴,8,1
2005,11,4,晴,8,1,晴,8,1
2005,11,5,晴,8,1,晴,8,1
2005,11,6,晴,8,1,晴時々曇,8,1
2005,11,7,晴,8,1,晴時々曇一時雨,8,1
2005,11,8,曇時々晴,8,1,曇時々晴,8,1
2005,11,9,晴,8,1,晴時々曇,8,1
2005,11,10,晴時々曇,8,1,曇時々晴一時雨,8,1
2005,11,11,晴時々曇,8,1,晴,8,1
2005,11,12,曇,8,1,晴時々曇,8,1
2005,11,13,曇時々晴,8,1,曇一時雨,8,1
2005,11,14,晴一時曇,8,1,曇時々雨一時晴,8,1
2005,11,15,晴時々曇一時雨,8,1,晴時々曇,8,1
2005,11,16,曇時々雨,8,1,曇一時雨,8,1
2005,11,17,曇時々晴,8,1,曇時々晴,8,1
2005,11,18,曇,8,1,曇,8,1
2005,11,19,雨,8,1,曇後雨,8,1
2005,11,20,雨,8,1,雨,8,1
2005,11,21,雨,8,1,雨,8,1
2005,11,22,曇時々雨,8,1,曇時々雨,8,1
2005,11,23,大雨,8,1,曇時々雨,8,1
2005,11,24,晴,8,1,曇時々雨一時晴,8,1
2005,11,25,晴時々曇,8,1,晴時々曇一時雨,8,1
2005,11,26,晴,8,1,晴一時曇,8,1
2005,11,27,快晴,8,1,晴,8,1
2005,11,28,晴時々曇一時雨,8,1,快晴,8,1
2005,11,29,晴時々曇,8,1,曇一時雨,8,1
2005,11,30,晴,8,1,曇後晴,8,1
2005,12,1,晴時々曇,8,1,晴後時々曇,8,1
2005,12,2,曇時々晴一時雨,8,1,晴,8,1
2005,12,3,晴,8,1,晴,8,1
2005,12,4,曇時々晴,8,1,曇一時雨,8,1
2005,12,5,曇後晴,8,1,曇,8,1
2005,12,6,晴時々曇,8,1,晴一時曇,8,1
2005,12,7,晴,8,1,晴時々曇,8,1
2005,12,8,晴,8,1,晴,8,1
2005,12,9,晴時々曇,8,1,晴時々曇,8,1
2005,12,10,晴時々曇一時雨,8,1,晴,8,1
2005,12,11,曇一時雨,8,1,曇一時雨,8,1
2005,12,12,晴,8,1,曇時々雨一時晴,8,1
2005,12,13,曇時々晴,8,1,晴,8,1
2005,12,14,曇後雨,8,1,晴時々曇,8,1
2005,12,15,晴時々曇,8,1,雨時々曇,8,1
2005,12,16,晴時々曇,8,1,曇時々晴,8,1
2005,12,17,曇一時晴,8,1,曇時々晴,8,1
2005,12,18,曇一時晴,8,1,曇時々雨,8,1
2005,12,19,晴時々曇,8,1,曇時々雨,8,1
2005,12,20,晴,8,1,曇一時雨,8,1
2005,12,21,雨時々曇,8,1,曇時々雨,8,1
2005,12,22,曇時々晴,8,1,雨時々曇,8,1
2005,12,23,晴,8,1,晴時々曇,8,1
2005,12,24,曇一時晴,8,1,晴一時曇,8,1
2005,12,25,晴一時曇,8,1,晴時々曇,8,1
2005,12,26,曇時々晴,8,1,曇,8,1
2005,12,27,曇時々晴,8,1,曇時々晴,8,1
2005,12,28,曇一時晴,8,1,晴時々曇,8,1
2005,12,29,曇一時晴,8,1,曇時々雨,8,1
2005,12,30,曇時々雨一時晴,8,1,晴後一時曇,8,1
2005,12,31,雨時々曇一時晴,8,1,雨,8,1
